id,municipio,id_municipio,uf,longitude,latitude
1100015,Alta Floresta D'Oeste,,,,
1100023,Ariquemes,3834.0,RO,-63.032516,-9.905711
1100031,Cabixi,3836.0,RO,-60.552032,-13.494479
1100049,Cacoal,3838.0,RO,-61.456167,-11.434271
1100056,Cerejeiras,3842.0,RO,-60.816836,-13.186987
1100064,Colorado do Oeste,3844.0,RO,-60.545428,-13.117431
1100072,Corumbiara,3845.0,RO,-60.894732,-12.955111
1100080,Costa Marques,3846.0,RO,-64.22797,-12.436715
1100098,Espigão D'Oeste,,,,
1100106,Guajará-Mirim,3850.0,RO,-65.329566,-10.788927
1100114,Jaru,3852.0,RO,-62.478769,-10.431826
1100122,Ji-Paraná,3853.0,RO,-61.932152,-10.877741
1100130,Machadinho D'Oeste,,,,
1100148,Nova Brasilândia D'Oeste,,,,
1100155,Ouro Preto do Oeste,3862.0,RO,-62.256532,-10.716717
1100189,Pimenta Bueno,3864.0,RO,-61.197963,-11.671959
1100205,Porto Velho,3866.0,RO,-63.899902,-8.760772
1100254,Presidente Médici,1278.0,MA,-45.820014,-2.389908
1100254,Presidente Médici,3867.0,RO,-61.898617,-11.168974
1100262,Rio Crespo,3869.0,RO,-62.901127,-9.699648
1100288,Rolim de Moura,3870.0,RO,-61.771411,-11.727071
1100296,Santa Luzia D'Oeste,,,,
1100304,Vilhena,3881.0,RO,-60.148847,-12.750183
1100320,São Miguel do Guaporé,3874.0,RO,-62.719222,-11.69527
1100338,Nova Mamoré,3859.0,RO,-65.334596,-10.407697
1100346,Alvorada D'Oeste,,,,
1100379,Alto Alegre dos Parecis,3831.0,RO,-61.834979,-12.131955
1100403,Alto Paraíso,3567.0,PR,-53.728537,-23.508137
1100403,Alto Paraíso,3832.0,RO,-63.318834,-9.714294
1100452,Buritis,1444.0,MG,-46.422078,-15.621802
1100452,Buritis,3835.0,RO,-63.832438,-10.194272
1100502,Novo Horizonte do Oeste,3861.0,RO,-61.995137,-11.696145
1100601,Cacaulândia,3837.0,RO,-62.904328,-10.348981
1100700,Campo Novo de Rondônia,3839.0,RO,-63.626551,-10.57125
1100809,Candeias do Jamari,3840.0,RO,-63.700502,-8.790696
1100908,Castanheiras,3841.0,RO,-61.948228,-11.425304
1100924,Chupinguaia,3843.0,RO,-60.887694,-12.561115
1100940,Cujubim,3847.0,RO,-62.584579,-9.360655
1101005,Governador Jorge Teixeira,3849.0,RO,-62.737071,-10.610031
1101104,Itapuã do Oeste,3851.0,RO,-63.180878,-9.196871
1101203,Ministro Andreazza,3855.0,RO,-61.517437,-11.19596
1101302,Mirante da Serra,3856.0,RO,-62.669593,-11.028967
1101401,Monte Negro,3857.0,RO,-63.289988,-10.245823
1101435,Nova União,1869.0,MG,-43.583048,-19.687584
1101435,Nova União,3860.0,RO,-62.556368,-10.90681
1101450,Parecis,3863.0,RO,-61.603225,-12.175416
1101468,Pimenteiras do Oeste,3865.0,RO,-61.047052,-13.482271
1101476,Primavera de Rondônia,3868.0,RO,-61.315336,-11.829456
1101484,São Felipe D'Oeste,,,,
1101492,São Francisco do Guaporé,3873.0,RO,-63.567968,-12.051977
1101500,Seringueiras,3875.0,RO,-63.018234,-11.805454
1101559,Teixeirópolis,3876.0,RO,-62.241993,-10.905601
1101609,Theobroma,3877.0,RO,-62.353796,-10.24834
1101708,Urupá,3878.0,RO,-62.363895,-11.126123
1101757,Vale do Anari,3879.0,RO,-62.187649,-9.862155
1101807,Vale do Paraíso,3880.0,RO,-62.135182,-10.446543
1200013,Acrelândia,2.0,AC,-66.897166,-9.825808
1200054,Assis Brasil,3.0,AC,-69.573794,-10.929765
1200104,Brasiléia,4.0,AC,-68.749696,-10.994994
1200138,Bujari,5.0,AC,-67.955029,-9.815277
1200179,Capixaba,6.0,AC,-67.686006,-10.566031
1200203,Cruzeiro do Sul,7.0,AC,-72.675582,-7.627625
1200203,Cruzeiro do Sul,3263.0,PR,-52.16221,-22.96244
1200203,Cruzeiro do Sul,4011.0,RS,-51.992778,-29.514835
1200252,Epitaciolândia,8.0,AC,-68.734109,-11.018771
1200302,Feijó,9.0,AC,-70.350973,-8.170536
1200328,Jordão,10.0,AC,-71.897391,-9.430912
1200336,Mâncio Lima,11.0,AC,-72.899708,-7.616575
1200344,Manoel Urbano,12.0,AC,-69.267862,-8.832911
1200351,Marechal Thaumaturgo,13.0,AC,-72.799704,-8.938983
1200385,Plácido de Castro,14.0,AC,-67.137133,-10.28064
1200393,Porto Walter,16.0,AC,-72.753747,-8.263233
1200401,Rio Branco,17.0,AC,-67.824348,-9.97499
1200401,Rio Branco,2373.0,MT,-58.125892,-15.248331
1200427,Rodrigues Alves,18.0,AC,-72.661015,-7.738638
1200435,Santa Rosa do Purus,19.0,AC,-70.49025,-9.446515
