Ano,Código da Grande Região,Nome da Grande Região,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Nome do Município,Região Metropolitana,Código da Mesorregião,Nome da Mesorregião,Código da Microrregião,Nome da Microrregião,Código da Região Geográfica Imediata,Nome da Região Geográfica Imediata,Município da Região Geográfica Imediata,Código da Região Geográfica Intermediária,Nome da Região Geográfica Intermediária,Município da Região Geográfica Intermediária,Código Concentração Urbana,Nome Concentração Urbana,Tipo Concentração Urbana,Código Arranjo Populacional,Nome Arranjo Populacional,Hierarquia Urbana,Hierarquia Urbana (principais categorias),Código da Região Rural,Nome da Região Rural,Região rural (segundo classificação do núcleo),Amazônia Legal,Semiárido,Cidade-Região de São Paulo,"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)","Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1.000)","Valor adicionado bruto dos Serviços,
a preços correntes 
- exceto Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social, 
a preços correntes
(R$ 1.000)","Valor adicionado bruto total, 
a preços correntes
(R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)",Atividade com maior valor adicionado bruto,Atividade com segundo maior valor adicionado bruto,Atividade com terceiro maior valor adicionado bruto
2021,3,Sudeste,35,SP,São Paulo,3500105,Adamantina,,3508,Presidente Prudente,35035,Adamantina,350019,Adamantina - Lucélia,Polo,3505,Presidente Prudente,do Entorno,,,,3500105.0,Adamantina - Lucélia/SP,Centro Sub-Regional B,Centro Sub-Regional,3501,Região Rural da Capital Regional de São José do Rio Preto,Região Rural de Capital Regional,Não,Não,Não,54224.142,178323.41,785582.034,228217.171,1246346.757,124519.171,1370865.929,38997.12,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2021,3,Sudeste,35,SP,São Paulo,3500204,Adolfo,Região Metropolitana de São José do Rio Preto,3501,São José do Rio Preto,35004,São José do Rio Preto,350025,São José do Rio Preto,do Entorno,3507,São José do Rio Preto,do Entorno,,,,,,Centro Local,Centro Local,3501,Região Rural da Capital Regional de São José do Rio Preto,Região Rural de Capital Regional,Não,Não,Não,22826.148,17782.937,42622.327,27140.209,110371.621,5118.367,115489.988,32578.28,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
2021,3,Sudeste,35,SP,São Paulo,3500303,Aguaí,,3507,Campinas,35029,Pirassununga,350044,São João da Boa Vista,do Entorno,3510,Campinas,do Entorno,,,,,,Centro Local,Centro Local,3503,Região Rural da Grande Metrópole Nacional de São Paulo,Região Rural de Grande Metrópole Nacional,Não,Não,Não,121795.919,358840.73,437984.526,151739.51,1070360.685,244376.572,1314737.257,35551.7,Demais serviços,Indústrias de transformação,"Administração, defesa, educação e saúde públicas e seguridade social"
2021,3,Sudeste,35,SP,São Paulo,3500402,Águas da Prata,,3507,Campinas,35030,São João da Boa Vista,350044,São João da Boa Vista,do Entorno,3510,Campinas,do Entorno,,,,3549102.0,São João da Boa Vista/SP,Centro Sub-Regional A,Centro Sub-Regional,3503,Região Rural da Grande Metrópole Nacional de São Paulo,Região Rural de Grande Metrópole Nacional,Não,Não,Não,25096.376,25550.804,106278.688,36922.718,193848.586,15155.406,209003.992,25297.02,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2021,3,Sudeste,35,SP,São Paulo,3500501,Águas de Lindóia,,3507,Campinas,35033,Amparo,350048,Amparo,do Entorno,3510,Campinas,do Entorno,,,,3500501.0,Águas de Lindóia/SP,Centro Local,Centro Local,3503,Região Rural da Grande Metrópole Nacional de São Paulo,Região Rural de Grande Metrópole Nacional,Não,Não,Não,10298.965,41438.678,372529.721,114950.716,539218.08,46385.86,585603.941,30971.23,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2021,3,Sudeste,35,SP,São Paulo,3500550,Águas de Santa Bárbara,,3504,Bauru,35022,Avaré,350007,Avaré,do Entorno,3502,Sorocaba,do Entorno,,,,,,Centro Local,Centro Local,3505,Região Rural das Capitais Regionais de Marília e Bauru,Região Rural de Capital Regional,Não,Não,Não,70378.677,9944.378,82958.154,41021.111,204302.32,12993.261,217295.581,35378.64,Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, defesa, educação e saúde públicas e seguridade social"
2021,3,Sudeste,35,SP,São Paulo,3500600,Águas de São Pedro,Região Metropolitana de Piracicaba,3506,Piracicaba,35028,Piracicaba,350040,Piracicaba,do Entorno,3510,Campinas,do Entorno,,,,3550407.0,São Pedro/SP,Centro Local,Centro Local,3503,Região Rural da Grande Metrópole Nacional de São Paulo,Região Rural de Grande Metrópole Nacional,Não,Não,Não,0.0,8858.841,98194.675,31514.802,138568.318,9286.817,147855.135,41208.23,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
2021,3,Sudeste,35,SP,São Paulo,3500709,Agudos,,3504,Bauru,35020,Bauru,350009,Bauru,do Entorno,3503,Bauru,do Entorno,,,,,,Centro de Zona B,Centro de Zona,3505,Região Rural das Capitais Regionais de Marília e Bauru,Região Rural de Capital Regional,Não,Não,Não,85373.367,1120495.303,780808.117,207612.863,2194289.65,444332.962,2638622.611,70209.74,Indústrias de transformação,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social"
2021,3,Sudeste,35,SP,São Paulo,3500758,Alambari,Região Metropolitana de Sorocaba,3511,Itapetininga,35042,Itapetininga,350006,Itapetininga,do Entorno,3502,Sorocaba,do Entorno,3522307.0,Itapetininga/SP,Média concentração urbana,3522307.0,Itapetininga/SP,Centro Sub-Regional A,Centro Sub-Regional,3503,Região Rural da Grande Metrópole Nacional de São Paulo,Região Rural de Grande Metrópole Nacional,Não,Não,Não,35450.074,11402.717,42753.369,32355.482,121961.643,7427.919,129389.561,20765.46,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
2021,3,Sudeste,35,SP,São Paulo,3500808,Alfredo Marcondes,,3508,Presidente Prudente,35036,Presidente Prudente,350018,Presidente Prudente,do Entorno,3505,Presidente Prudente,do Entorno,3541406.0,Presidente Prudente/SP,Média concentração urbana,3541406.0,Presidente Prudente/SP,Capital Regional C,Capital Regional,3506,Região Rural da Capital Regional de Presidente Prudente,Região Rural de Capital Regional,Não,Não,Não,9081.353,21154.99,35648.145,24617.494,90501.981,29852.924,120354.905,28649.11,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Indústrias de transformação
