UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
RO,11.0,15.0,Alta Floresta D'Oeste,22853.0
RO,11.0,23.0,Ariquemes,108573.0
RO,11.0,31.0,Cabixi,5690.0
RO,11.0,49.0,Cacoal,97637.0
RO,11.0,56.0,Cerejeiras,16975.0
RO,11.0,64.0,Colorado do Oeste,16588.0
RO,11.0,72.0,Corumbiara,8001.0
RO,11.0,80.0,Costa Marques,13522.0
RO,11.0,98.0,Espigão D'Oeste,32717.0
RO,11.0,106.0,Guajará-Mirim,43553.0
RO,11.0,114.0,Jaru,55583.0
RO,11.0,122.0,Ji-Paraná,139359.0
RO,11.0,130.0,Machadinho D'Oeste,34063.0
RO,11.0,148.0,Nova Brasilândia D'Oeste,16504.0
RO,11.0,155.0,Ouro Preto do Oeste,38681.0
RO,11.0,189.0,Pimenta Bueno,39053.0
RO,11.0,205.0,Porto Velho,514873.0
RO,11.0,254.0,Presidente Médici,20518.0
RO,11.0,262.0,Rio Crespo,3753.0
RO,11.0,288.0,Rolim de Moura,62559.0
RO,11.0,296.0,Santa Luzia D'Oeste,7877.0
RO,11.0,304.0,Vilhena,108528.0
RO,11.0,320.0,São Miguel do Guaporé,22267.0
RO,11.0,338.0,Nova Mamoré,28496.0
RO,11.0,346.0,Alvorada D'Oeste,13837.0
RO,11.0,379.0,Alto Alegre dos Parecis,12263.0
RO,11.0,403.0,Alto Paraíso,17463.0
RO,11.0,452.0,Buritis,30729.0
RO,11.0,502.0,Novo Horizonte do Oeste,8056.0
RO,11.0,601.0,Cacaulândia,4345.0
RO,11.0,700.0,Campo Novo de Rondônia,9225.0
RO,11.0,809.0,Candeias do Jamari,24163.0
RO,11.0,908.0,Castanheiras,3456.0
RO,11.0,924.0,Chupinguaia,10129.0
RO,11.0,940.0,Cujubim,15883.0
RO,11.0,1005.0,Governador Jorge Teixeira,8420.0
RO,11.0,1104.0,Itapuã do Oeste,9209.0
RO,11.0,1203.0,Ministro Andreazza,6657.0
RO,11.0,1302.0,Mirante da Serra,9740.0
RO,11.0,1401.0,Monte Negro,12241.0
RO,11.0,1435.0,Nova União,6577.0
RO,11.0,1450.0,Parecis,4390.0
RO,11.0,1468.0,Pimenteiras do Oeste,2311.0
RO,11.0,1476.0,Primavera de Rondônia,3279.0
RO,11.0,1484.0,São Felipe D'Oeste,5605.0
RO,11.0,1492.0,São Francisco do Guaporé,17511.0
RO,11.0,1500.0,Seringueiras,12954.0
RO,11.0,1559.0,Teixeirópolis,4536.0
RO,11.0,1609.0,Theobroma,8540.0
RO,11.0,1708.0,Urupá,11377.0
RO,11.0,1757.0,Vale do Anari,8265.0
RO,11.0,1807.0,Vale do Paraíso,6843.0
AC,12.0,13.0,Acrelândia,14657.0
AC,12.0,54.0,Assis Brasil,8573.0
AC,12.0,104.0,Brasiléia,27841.0
AC,12.0,138.0,Bujari,13766.0
AC,12.0,179.0,Capixaba,10922.0
AC,12.0,203.0,Cruzeiro do Sul,98382.0
AC,12.0,252.0,Epitaciolândia,19739.0
AC,12.0,302.0,Feijó,37644.0
AC,12.0,328.0,Jordão,9787.0
AC,12.0,336.0,Mâncio Lima,20329.0
AC,12.0,344.0,Manoel Urbano,12776.0
AC,12.0,351.0,Marechal Thaumaturgo,17951.0
AC,12.0,385.0,Plácido de Castro,17127.0
AC,12.0,393.0,Porto Walter,11275.0
AC,12.0,401.0,Rio Branco,387852.0
AC,12.0,427.0,Rodrigues Alves,15537.0
AC,12.0,435.0,Santa Rosa do Purus,7143.0
AC,12.0,450.0,Senador Guiomard,22352.0
AC,12.0,500.0,Sena Madureira,43916.0
AC,12.0,609.0,Tarauacá,46517.0
AC,12.0,708.0,Xapuri,19090.0
AC,12.0,807.0,Porto Acre,17455.0
AM,13.0,29.0,Alvarães,16670.0
AM,13.0,60.0,Amaturá,11411.0
AM,13.0,86.0,Anamã,10318.0
AM,13.0,102.0,Anori,17932.0
AM,13.0,144.0,Apuí,21735.0
AM,13.0,201.0,Atalaia do Norte,15892.0
AM,13.0,300.0,Autazes,45328.0
AM,13.0,409.0,Barcelos,18626.0
AM,13.0,508.0,Barreirinha,33436.0
AM,13.0,607.0,Benjamin Constant,40509.0
AM,13.0,631.0,Beruri,22136.0
AM,13.0,680.0,Boa Vista do Ramos,25769.0
AM,13.0,706.0,Boca do Acre,38246.0
AM,13.0,805.0,Borba,34879.0
AM,13.0,839.0,Caapiranga,14310.0
AM,13.0,904.0,Canutama,17885.0
AM,13.0,1001.0,Carauari,30892.0
AM,13.0,1100.0,Careiro,32442.0
AM,13.0,1159.0,Careiro da Várzea,19809.0
AM,13.0,1209.0,Coari,73820.0
AM,13.0,1308.0,Codajás,24451.0
AM,13.0,1407.0,Eirunepé,35534.0
AM,13.0,1506.0,Envira,17920.0
AM,13.0,1605.0,Fonte Boa,27875.0
AM,13.0,1654.0,Guajará,14332.0
AM,13.0,1704.0,Humaitá,62312.0
AM,13.0,1803.0,Ipixuna,25458.0
AM,13.0,1852.0,Iranduba,67114.0
AM,13.0,1902.0,Itacoatiara,112520.0
AM,13.0,1951.0,Itamarati,11730.0
AM,13.0,2009.0,Itapiranga,10805.0
AM,13.0,2108.0,Japurá,9397.0
AM,13.0,2207.0,Juruá,11152.0
AM,13.0,2306.0,Jutaí,27656.0
AM,13.0,2405.0,Lábrea,48927.0
AM,13.0,2504.0,Manacapuru,110691.0
AM,13.0,2553.0,Manaquiri,17009.0
AM,13.0,2603.0,Manaus,2279686.0
AM,13.0,2702.0,Manicoré,57758.0
AM,13.0,2801.0,Maraã,15843.0
AM,13.0,2900.0,Maués,65714.0
AM,13.0,3007.0,Nhamundá,21106.0
AM,13.0,3106.0,Nova Olinda do Norte,28267.0
AM,13.0,3205.0,Novo Airão,16467.0
AM,13.0,3304.0,Novo Aripuanã,24987.0
AM,13.0,3403.0,Parintins,101956.0
AM,13.0,3502.0,Pauini,20232.0
AM,13.0,3536.0,Presidente Figueiredo,33004.0
