UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
SP,35.0,105.0,Adamantina,35642.0
SP,35.0,204.0,Adolfo,4478.0
SP,35.0,303.0,Aguaí,32888.0
SP,35.0,402.0,Águas da Prata,7470.0
SP,35.0,501.0,Águas de Lindóia,18245.0
SP,35.0,550.0,Águas de Santa Bárbara,7407.0
SP,35.0,600.0,Águas de São Pedro,2829.0
SP,35.0,709.0,Agudos,38879.0
SP,35.0,758.0,Alambari,6330.0
SP,35.0,808.0,Alfredo Marcondes,4556.0
SP,35.0,907.0,Altair,3479.0
SP,35.0,1004.0,Altinópolis,17156.0
SP,35.0,1103.0,Alto Alegre,3883.0
SP,35.0,1152.0,Alumínio,17591.0
SP,35.0,1202.0,Álvares Florence,3978.0
SP,35.0,1301.0,Álvares Machado,28250.0
SP,35.0,1400.0,Álvaro de Carvalho,4896.0
SP,35.0,1509.0,Alvinlândia,2923.0
SP,35.0,1608.0,Americana,246655.0
SP,35.0,1707.0,Américo Brasiliense,33757.0
SP,35.0,1806.0,Américo de Campos,5975.0
SP,35.0,1905.0,Amparo,69717.0
SP,35.0,2002.0,Analândia,4684.0
SP,35.0,2101.0,Andradina,61473.0
SP,35.0,2200.0,Angatuba,24512.0
SP,35.0,2309.0,Anhembi,5766.0
SP,35.0,2408.0,Anhumas,4108.0
SP,35.0,2507.0,Aparecida,33223.0
SP,35.0,2606.0,Aparecida d'Oeste,4124.0
SP,35.0,2705.0,Apiaí,24886.0
SP,35.0,2754.0,Araçariguama,22168.0
SP,35.0,2804.0,Araçatuba,207775.0
SP,35.0,2903.0,Araçoiaba da Serra,33656.0
SP,35.0,3000.0,Aramina,5526.0
SP,35.0,3109.0,Arandu,7050.0
SP,35.0,3158.0,Arapeí,2355.0
SP,35.0,3208.0,Araraquara,252318.0
SP,35.0,3307.0,Araras,135331.0
SP,35.0,3356.0,Arco-Íris,2085.0
SP,35.0,3406.0,Arealva,8280.0
SP,35.0,3505.0,Areias,3625.0
SP,35.0,3604.0,Areiópolis,10257.0
SP,35.0,3703.0,Ariranha,7653.0
SP,35.0,3802.0,Artur Nogueira,53157.0
SP,35.0,3901.0,Arujá,89943.0
SP,35.0,3950.0,Aspásia,1873.0
SP,35.0,4008.0,Assis,104642.0
SP,35.0,4107.0,Atibaia,166043.0
SP,35.0,4206.0,Auriflama,13873.0
SP,35.0,4305.0,Avaí,4519.0
SP,35.0,4404.0,Avanhandava,11438.0
SP,35.0,4503.0,Avaré,96098.0
SP,35.0,4602.0,Bady Bassitt,28909.0
SP,35.0,4701.0,Balbinos,3963.0
SP,35.0,4800.0,Bálsamo,9854.0
SP,35.0,4909.0,Bananal,10109.0
SP,35.0,5005.0,Barão de Antonina,3618.0
SP,35.0,5104.0,Barbosa,5659.0
SP,35.0,5203.0,Bariri,32405.0
SP,35.0,5302.0,Barra Bonita,35159.0
SP,35.0,5351.0,Barra do Chapéu,5256.0
SP,35.0,5401.0,Barra do Turvo,6922.0
SP,35.0,5500.0,Barretos,126600.0
SP,35.0,5609.0,Barrinha,33181.0
SP,35.0,5708.0,Barueri,330339.0
SP,35.0,5807.0,Bastos,21900.0
SP,35.0,5906.0,Batatais,59873.0
SP,35.0,6003.0,Bauru,391740.0
SP,35.0,6102.0,Bebedouro,78210.0
SP,35.0,6201.0,Bento de Abreu,2642.0
SP,35.0,6300.0,Bernardino de Campos,11852.0
